Chemical formula,Band gap,Crystallinity,Color
Bi$_{2}$Te$_{3}$,0.153,Single crystalline,
Mg$_{2}$Ge,0.567,Single crystalline,
CoSi,0.045,Single crystalline,
NaBr,7.025,Single crystalline,
Ca$_{2}$Sn,0.9,Polycrystalline,
As$_{2}$S$_{3}$,2.57,Single crystalline,
ZnO,3.35,Single crystalline,
Cu$_{2}$Se,1.23,Single crystalline,
GeTe,0.7,Amorphous,
CaF$_{2}$,10,Single crystalline,
DyN,2.1,,
Sb$_{2}$Se$_{3}$,1.15,Polycrystalline,
InAs,0.404,Single crystalline,Dark Gray
CdI$_{2}$,3.2,Single crystalline,
La$_{2}$S$_{3}$,1.32,Polycrystalline,Red-Yellow
Mg$_{3}$Sb$_{2}$,0.82,Polycrystalline,
Cu$_{2}$Te,1.15,Polycrystalline,
PbTe,0.19,Single crystalline,
CdSb,0.465,,
CaO,6.1,Single crystalline,White
As$_{2}$S$_{3}$,2,Amorphous,
Mg$_{2}$Ge,0.57,Single crystalline,
CaS,6.0$\pm$0.2,Polycrystalline,
Eu$_{3}$As$_{2}$,0.6,Single crystalline,
AgBr,2.676,Single crystalline,
ZnTe,2.35,Single crystalline,
ZrSe$_{3}$,1.25,Single crystalline,Dark Gray
Cr$_{3}$Se$_{4}$,0.015,,
HgS,0.7,Single crystalline,
Cr$_{2}$O$_{3}$,1.68,Single crystalline,
GeSe$_{2}$,2.69,Single crystalline,Yellow-Orange
GeAs$_{2}$,1$\pm$0.1,Single crystalline,
LaB$_{6}$,4.1,Polycrystalline,
MgO,7.77,Single crystalline,
As$_{2}$S$_{3}$,2.8,Single crystalline,
CdSb,0.585,Single crystalline,
As$_{2}$S$_{3}$,2.32,Amorphous,
Ag$_{2}$Te,0.28,,
As$_{2}$Se$_{3}$,1.1,Amorphous,
NaI,5.8,Single crystalline,
CdAs$_{2}$,1,Single crystalline,
InSb,0.234,Single crystalline,
GeAs,0.65$\pm$0.05,Single crystalline,
CaO,7.03,Single crystalline,
GeS,1.58,,
AlAs,2.205,Polycrystalline,
Bi$_{2}$Te$_{3}$,0.145,Single crystalline,
As$_{4}$S$_{4}$,2.4,Single crystalline,
SmSe,0.46,Single crystalline,
CdO,2.3,Single crystalline,
Cu$_{2}$S,1.05,Polycrystalline,
SnCl$_{2}$,3.9,Polycrystalline,
RbI,6.37,Single crystalline,
GeTe$_{2}$,0.3,,
ZrC,0.6,,
FeI$_{2}$,5.15,Polycrystalline,
ScN,2.6,,
PrO,0.55,,
MgO,7.69,Single crystalline,
C,5.493,Single crystalline,
Cu$_{2}$O,2.59,,
HgI$_{2}$,2.13,Single crystalline,Red
AlAs,2.2,Polycrystalline,
Ce$_{2}$Se$_{3}$,1.62,Polycrystalline,
Eu$_{2}$O$_{3}$,1.84,Polycrystalline,
RbCl,8.5,Single crystalline,
PbBr$_{2}$,3.23,Polycrystalline,
ZnTe,2.29,Single crystalline,
HoN,1.79$\pm$0.9,Polycrystalline,
As$_{2}$O$_{3}$,4,Polycrystalline,
SnBr$_{2}$,3.5,Single crystalline,
Rb$_{3}$Sb,1.7$\pm$0.1,,
KI,6.25,Single crystalline,
SnO$_{2}$,4.1,Single crystalline,
Pr$_{2}$Se$_{3}$,1.9,Single crystalline,
Mg$_{2}$Sn,0.36,Polycrystalline,
PbTe,0.185,Single crystalline,White
MnS,6.2,Single crystalline,
SnSe,1.2,Single crystalline,Gray
MoO$_{3}$,3.66,Single crystalline,
Ag$_{2}$Te,0.025,Polycrystalline,
TlBr,3.073,Single crystalline,
NiTe,0.23,,
EuS,3.1,Polycrystalline,
CeN,0.7,,Bronze
Dy$_{2}$S$_{3}$,2.91,Single crystalline,
BaI,,,
BiI$_{3}$,2.52,Polycrystalline,
EuTe,2,Single crystalline,
MgTe,3.6,Single crystalline,
MoO$_{3}$,3.7,Polycrystalline,
Ce$_{2}$Te$_{3}$,1.4$\pm$0.2,Polycrystalline,
Sm$_{2}$O$_{3}$,2.27,,
As$_{2}$Se$_{3}$,1.7,Single crystalline,
Si,1.12,Single crystalline,
As$_{2}$S$_{5}$,2.62,Amorphous,
As$_{2}$S$_{3}$,2.355,Single crystalline,
AgCl,3.246,Single crystalline,
Te,0.33,Polycrystalline,
Bi$_{0.85}$Sb$_{0.15}$,0.01,Single crystalline,
CdSb,0.7,Single crystalline,
Bi$_{0.97}$Sb$_{0.03}$,0.022,Single crystalline,
AlB,0.74,Single crystalline,Brown
Nd$_{4}$Te$_{7}$,0.38,,
PbSe,0.29,Single crystalline,
Al$_{2}$S$_{3}$,4.1,,White
MnF$_{2}$,10.24,Single crystalline,
SnBr$_{2}$,3.4,Polycrystalline,
Ag$_{2}$Te,0.85,Single crystalline,
Sb$_{2}$Se$_{3}$,1.2,Single crystalline,
Ag$_{2}$Se,0.07,Polycrystalline,
TiSe$_{2}$,1.55,Single crystalline,
Bi$_{0.91}$Sb$_{0.09}$,0.01,Single crystalline,
GaSb,0.813,Single crystalline,
VO,0.3,,
LiF,12.6,Single crystalline,
BAs,3.56,,
Sb$_{2}$S$_{3}$,1.7,Single crystalline,
GeS,1.77,Single crystalline,
CdI$_{2}$,3.26,Polycrystalline,
V$_{4}$O$_{7}$,0.8,Single crystalline,
As$_{2}$S$_{3}$,2.21,Amorphous,
PbBr$_{2}$,3.5,Single crystalline,
GaSe,2.2,Single crystalline,
CdTe,1.58,Single crystalline,
Sb$_{2}$S$_{3}$,1.7,Single crystalline,
HgTe,0.175,Single crystalline,
K$_{2}$S,2.1,,
Te,0.335,Single crystalline,
ZrS$_{3}$,2.17,Single crystalline,Copper-Red
Se,1.71,Single crystalline,
UO$_{2}$,1.3,Polycrystalline,
AlAs,2.215,Single crystalline,
KBr,6.75,Single crystalline,
GaAs,1.09,Single crystalline,
Se,1.72,Single crystalline,
KBr,7.215,Single crystalline,
Mg$_{2}$Ge,0.63,Single crystalline,
Fe$_{2}$Te$_{3}$,0.6,Polycrystalline,
MoO$_{3}$,2.96,Single crystalline,
K$_{3}$Sb,1.1,Polycrystalline,
Bi$_{2}$O$_{3}$,2.58,Polycrystalline,
GaS,2.5,Single crystalline,
Ag$_{2}$Se,0.13,Polycrystalline,
Zn$_{4}$Sb$_{3}$,1.2,Single crystalline,
GaSb,0.81,Single crystalline,
PdO,1.5,Polycrystalline,
HgBr$_{2}$,3.59,Polycrystalline,
Mg$_{2}$Ge,1.78,Single crystalline,
GaAs,1.253,Single crystalline,
LiF,11.7,Single crystalline,
PtSb$_{2}$,0.07,Single crystalline,
PtAs$_{2}$,0.55,Single crystalline,
Eu$_{2}$O$_{3}$,1.7,Polycrystalline,
Te,0.35,,
CdTe,1.595,Single crystalline,
SnO$_{2}$,3.597,Single crystalline,
NiS,0.12,Single crystalline,
La$_{2}$Se$_{3}$,1.97,Single crystalline,
Cr$_{2}$S$_{3}$,0.9,Polycrystalline,
ZnS,3.704,Single crystalline,
GeO$_{2}$,5.56,Single crystalline,
MnF$_{2}$,10.2,Single crystalline,
PbSe,0.27,Single crystalline,
Sb$_{2}$O$_{3}$,3.31,Polycrystalline,
ThO$_{2}$,3.3,Single crystalline,Red
In$_{2}$Se,0.65,Single crystalline,
GaAs,1.511,Single crystalline,
ZnSb,0.99,Single crystalline,
HfS$_{3}$,2.85,Single crystalline,Ocher
HgSe,0.1,,
Bi,0.006,,
Lu$_{2}$O$_{3}$,3.94,Polycrystalline,
Sb$_{0.71}$As$_{0.29}$,0.125,Single crystalline,
Na$_{3}$Sb,1.17,Single crystalline,
As$_{2}$S$_{3}$,2.2,Amorphous,
V$_{2}$O$_{5}$,2.3,Single crystalline,
Bi$_{0.9}$Sb$_{0.1}$,0.015,Single crystalline,
HgI$_{2}$,2.795,Single crystalline,Yellow
Cs$_{2}$Te,3.5,,
CeO$_{2}$,2.68,Polycrystalline,
PbS,0.285,Single crystalline,
CoTe$_{1.88}$,0.2,,
Cs$_{2}$S,,,
TiTe$_{2}$,1,Single crystalline,
ZnSb,0.514,Single crystalline,
RbCl,8.3,Single crystalline,
PbSe,0.176,Single crystalline,Gray
As$_{2}$S$_{5}$,2.21,Amorphous,
Mg$_{3}$P$_{2}$,1.4,,
MoTe$_{2}$,1.02,Single crystalline,
CaSe,4.87,Polycrystalline,Yellow
LaB$_{6}$,4.9,Single crystalline,
TlS,0.98,,
EuS,1.645,Polycrystalline,
BeO,5.2,,
KBr,7.3,Single crystalline,
OsSb$_{2}$,0.2,Polycrystalline,
In$_{2}$Te$_{3}$,0.85,Single crystalline,
Mg$_{2}$Si,0.66,Single crystalline,
MnO,2.6,Single crystalline,
AlAs,2.223,Polycrystalline,
Mg$_{2}$Si,0.77,Polycrystalline,
Cs$_{3}$Bi,0.55,,
GaSe,2.109,Single crystalline,
ReO$_{3}$,2.3,Single crystalline,Red
PbTe,0.31,Single crystalline,
GeS,1.59,Single crystalline,
InSb,0.235,Single crystalline,
Ta$_{2}$O$_{5}$,4.6,Polycrystalline,
AlB,0.82,Single crystalline,Blue
Se,1.75,Single crystalline,
Sb$_{2}$O$_{3}$,4.2,Polycrystalline,
PbTe,0.217,Single crystalline,
PbO,2.84,Single crystalline,Red
InSe,1.12,Single crystalline,
Nb$_{2}$O$_{5}$,3.08,Polycrystalline,
PrO$_{2}$,0.66,Polycrystalline,
B,1.47,Single crystalline,
Ca$_{2}$Si,1.9,Polycrystalline,
WO$_{3}$,2.7,Single crystalline,
HgI$_{2}$,2.19,Single crystalline,
Er$_{3}$Te$_{4}$,0.9,Polycrystalline,
HgTe,0.303,Single crystalline,
GaS,2.58,Single crystalline,
NiO,3.7,Single crystalline,Dark Green
K$_{2}$Se,1.8,,
EuSe,3.1,Polycrystalline,
ZnTe,2.372,Polycrystalline,
PbSe,0.165,Single crystalline,Gray
ZnSb,1.11,Single crystalline,
ZnTe,2.385,Single crystalline,Red
C,5.413,Single crystalline,
EuSe,1.78,Single crystalline,
SrO,5.7,Polycrystalline,
CsBi$_{2}$,0.55,,
Pb$_{3}$O$_{4}$,2.12,Polycrystalline,
HgI$_{2}$,3.045,Single crystalline,Yellow
InP,1.34,Single crystalline,Dark Gray
Mg$_{2}$Sn,0.135,Single crystalline,
GaAs,1.479,Single crystalline,
RbF,10.4,Single crystalline,
B,1.55,Single crystalline,
ErSe$_{2}$,1.07,Polycrystalline,
PbO,2.76,Single crystalline,Yellow
Bi$_{0.87}$Sb$_{0.13}$,0.018,Single crystalline,
Ag$_{2}$Te,0.13,Polycrystalline,
CuI,3.047,Polycrystalline,
SnSe$_{2}$,1.3,Single crystalline,
SiC,3.33,Single crystalline,
KCl,7.8,Single crystalline,
Cd$_{3}$As$_{2}$,0.425,Single crystalline,Gray
BiI$_{3}$,2.029,Single crystalline,
Sb$_{2}$S$_{3}$,1.72,Single crystalline,
Nd$_{2}$Se$_{3}$,1.7,Single crystalline,
RbI,6.25,Single crystalline,
GeSe,1.17,Single crystalline,
Pb$_{2}$O$_{3}$,1.67,Polycrystalline,
SbSi,1.9,Polycrystalline,
V$_{2}$O$_{5}$,2.49,Single crystalline,
GaSe,2.169,Single crystalline,
As$_{2}$S$_{3}$,2.43,Single crystalline,
HgO,2.214,Polycrystalline,
BN,8,Single crystalline,White
PrF$_{3}$,5.3,Polycrystalline,
WTe$_{2}$,0.05,Single crystalline,
RhSe$_{3}$,0.7,,
SnSe$_{2}$,1,Single crystalline,
CsCl,7.8,Polycrystalline,
Cu$_{2}$O,2.17,Polycrystalline,
FeAs$_{2}$,0.2,Polycrystalline,
NdB$_{6}$,3.4,Polycrystalline,
OsP$_{2}$,1.2,Polycrystalline,
B,1.42,Single crystalline,
Ga$_{2}$Te$_{3}$,1.08,Single crystalline,
Mg$_{2}$Ge,1.64,Single crystalline,
PdS,0.5,Single crystalline,
CsBr,6.9,,
PtSb$_{2}$,0.11,Single crystalline,
HgI$_{2}$,2.315,Single crystalline,Yellow
RbBr,7.65,Single crystalline,
SnTe,0.3,Single crystalline,
Cd$_{4}$Sb$_{3}$,1.25,Single crystalline,
PbTe,0.29,Single crystalline,
Zn$_{3}$As$_{2}$,0.86,Polycrystalline,
Cd$_{3}$As$_{2}$,0.048,Single crystalline,
SnS$_{2}$,2.6,Polycrystalline,
ZnTe,2.23,Single crystalline,
MnTe$_{9}$,2,Polycrystalline,
EuSe,1.87,Single crystalline,
Er$_{2}$Se$_{3}$,1.66,Polycrystalline,
Ce$_{2}$S$_{3}$,1.12,,
MgCl,,,
PbTe,0.19,Single crystalline,
CsF,10,Polycrystalline,
BiSb$_{0.15}$,0.022,Single crystalline,
SiC,2.86,Single crystalline,
EuSe,1.8,Single crystalline,
InS,1.86,Single crystalline,
ThO$_{2}$,3.3,Polycrystalline,
TiS$_{2}$,1.24,Single crystalline,
PbO,3.18,Polycrystalline,Red
Sb$_{2}$S$_{3}$,1.63,Single crystalline,
PbCl$_{2}$,4.1,Polycrystalline,
EuSe,1.78,Polycrystalline,
RbI,5.83,Single crystalline,
TlSe,0.74,Single crystalline,
AgI,2.82,Polycrystalline,
